delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.388889	-45.000000								error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.388889	-42.222222	-46.171129	0.839250	full	89	914	1,0,0,0	16,0,0,0	ok
-1.388889	-39.444444								error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.388889	-36.666667	-47.643559	0.820296	full	89	641	1,0,0,0	-13,0,0,0	ok
-1.388889	-33.888889	-48.081292	0.813774	full	77	572	-1,0,0,0	-12,0,0,0	ok
-1.388889	-31.111111	-48.498163	0.808684	full	15355805187064685	37998490629	-1,0,-1,-10	-11,0,0,4	ok
-1.388889	-28.333333	-49.312191	0.792866	full	14738679547614901	7037003902501906	1,-1,0,-10	10,2,1,9	ok
-1.388889	-25.555556	-49.685481	0.789187	full	6406958294820305	451520166673117	-1,6,9,-9	9,9,-9,7	ok
-1.388889	-22.777778	-50.048663	0.782420	full	5848780619532479	5848782350016823	-1,8,8,-9	-9,8,8,-9	ok
-1.388889	-20.000000	-50.403203	0.774936	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
