delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.166667	-45.000000	-46.043624	0.821587	full	5364510721919	2380	1,-3,-2,-6	-18,-2,1	ok
-1.166667	-42.222222	-46.618719	0.813118	full	9728	40156	1,0,0,1	15,-1,-1,1	ok
-1.166667	-39.444444	-47.140196	0.808706	full	9590	1198	-1,0,0,1	-14,0,-1,0	ok
-1.166667	-36.666667	-48.073553	0.793134	full	1174	108787	1,0,1,0	12,12,-1,0	ok
-1.166667	-33.888889	-48.516482	0.788334	full	141520454936285777	752041131	-1,0,11,-11	11,11,-11,0	ok
-1.166667	-31.111111	-48.940980	0.780335	full	66641966605480280	66720926273439432	-1,6,10,10	-11,10,10,10	ok
-1.166667	-28.333333	-49.350902	0.773946	full	14732314495311119	14732317585058792	-1,9,-10,9	-10,9,-10,9	ok
-1.166667	-25.555556	-49.748774	0.768750	full	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.166667	-22.777778	-50.502123	0.751327	full	2671080006838320	2671081176279736	-1,8,-9,8	-9,8,-9,8	ok
-1.166667	-20.000000	-50.865362	0.745585	full	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
