delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-45.00000000	-43.43774057	0.8658065013	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	587.5324036,1264.962642,2137.307373,2931.78436,3838.602623,4725.998325,5657.688419,6610.064955	5035.434462,5911.519744,6718.160719,7628.370272,8524.732368,9458.695133,10416.91851,11365.95845	0.9862558454,0.9569340628,0.9855813636,0.937746368,0.9857102596,0.9282813982,0.9857936987,0.9239749331	-0.919986427,-0.9855629848,-0.9361838488,-0.9856595162,-0.9274620355,-0.9856492183,-0.9233126542,-0.9854356775	ok
-1.38888889	-45.00000000	-44.00218175	0.8630131524	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	804.4240873,1665.720143,2673.424875,3681.526319,4729.44274,5834.91116,6905.612199,8064.156382	5001.978305,5769.64995,6168.444389,7007.162253,7565.025701,8467.441704,9202.610534,10170.02018	0.9854840188,0.9332561782,0.985521688,0.9236855805,0.985629428,0.9205846748,0.9856818419,0.9194781707	-0.9293860072,-0.9842217167,-0.8622680601,-0.9846217967,-0.9761132051,-0.9847487314,-0.9490579387,-0.9846321587	ok
-1.27777778	-45.00000000	-44.42944612	0.8602198035	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1085.308997,2245.709702,3428.500601,4732.966764,5943.081534,7307.034386,8526.110425,9909.043677	5326.675346,5918.844786,6569.333956,7309.460382,8170.120553,9190.674571,9539.708223,10426.14639	0.9853208969,0.9215476097,0.9854423067,0.9197793277,0.9854938141,0.9193594072,0.985494275,0.9190671498	-0.9315407696,-0.9673252037,-0.9709936751,-0.9697276811,-0.9682364132,-0.9664034994,-0.7101167474,-0.9631767007	ok
-1.16666667	-45.00000000	-44.74256437	0.8574264546	full	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1398.209519,3073.620138,4429.071653,6033.810606,7388.186972,8990.741893,10345.05015,11947.46457	6543.914489,6912.955994,7167.432698,7422.721618,7689.970955,7972.767483,8273.565805,8594.949628	0.9853118864,-0.884215579,-0.9626381293,-0.2685689267,-0.3131525419,-0.0211520434,-0.02488255574,-0.001597586332	-0.904736127,-0.9037025276,-0.9306104857,-0.9331199192,-0.9310673826,-0.9279562663,-0.9244967825,-0.9208461384	ok
-1.05555556	-45.00000000	-42.49970178	0.7852001641	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	267.5760364,1124.470119,2205.861425,2563.592419,3627.990193,4354.802988,5624.668677,6961.223723	672.1548078,5391.10902,5754.075674,5998.785793,6243.475628,6498.940343,6768.7117,7055.138992	0.9882577995,0.9837313022,0.9835782943,0.6215798291,0.9840398225,0.9629815199,0.9845952592,0.9232095365	0.9905004597,-0.5308238783,-0.5328620076,-0.5373562043,-0.5352622544,-0.5320601153,-0.5287789953,-0.5256395393	ok
-0.94444444	-45.00000000	-43.91158483	0.7824068152	continued:5	1,1,1,1,1,1,1,-1	1,-1,-1,-1,-1,-1,-1,-1	422.2861606,1407.665348,2723.031809,3331.756366,4676.790661,6151.255374,7785.789268,10000.07901	629.5545694,5260.319523,5624.305562,5866.137722,6107.836116,6360.118624,6626.57435,6909.617585	0.9843856075,0.9830898841,0.9834852139,0.9690188123,0.9841968343,0.9243626248,0.9845756902,-0.9241912029	0.9906610376,-0.2780160379,-0.2810285707,-0.2811665517,-0.2797554172,-0.2781496616,-0.2766810303,-0.275440997	ok
-0.83333333	-45.00000000	-44.88178072	0.7796134663	continued:5	1,1,1,1,1,1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	599.8039734,1749.054233,2126.740225,3473.349821,4823.336328,6644.347856,9330.948842,10764.41744	593.5172292,5178.767129,5544.315503,5783.868277,6023.240562,6273.078782,6537.035602,6817.60348	0.9823389678,0.9827952898,0.5109488529,0.9835987509,0.9266010396,0.9843261933,-0.9272939381,-0.9837952715	0.9908109846,-0.1478430977,-0.1500590473,-0.1499134502,-0.1492324562,-0.1485171412,-0.1479229742,-0.1475031768	ok
-0.72222222	-45.00000000	-45.60807848	0.7768201174	continued:5	1,1,1,1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	807.4832426,2199.881177,2987.696465,4866.23222,7894.298571,9249.434519,10547.11555,12629.25585	562.5456357,5127.87178,5495.223286,5732.793971,5970.177176,6217.938662,6479.796917,6758.329868	0.9817135253,0.9827350529,0.9684154149,0.9838501493,-0.9299415312,-0.9830071494,-0.9287974562,-0.9839315035	0.9909510549,-0.08257014546,-0.08404036097,-0.08397744383,-0.08365675452,-0.08333271261,-0.08309435172,-0.08297640298	ok
-0.61111111	-45.00000000	-46.15095697	0.7740267685	continued:5	1,1,-1,-1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1059.937567,2885.137084,5508.536603,7447.451209,10922.31339,12110.88044,12485.50454,14341.46734	5546.398759,5915.72597,6151.530508,6387.175076,6633.129918,6893.181387,7169.999479,7466.368133	0.9815331504,0.982855561,-0.9281740588,-0.9833316105,0.933362135,0.981794782,0.3100589239,0.9831813886	-0.0570938624,-0.05823469668,-0.05822816786,-0.05804609413,-0.05786736981,-0.05775791443,-0.05774563942,-0.05785093112	ok
-0.50000000	-45.00000000	-46.53988294	0.7768201174	full	1,1,1,1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	70.8974261,1514.144475,2924.38948,6250.307485,11685.62439,12060.87906,12297.62079,12534.4337	511.8392496,5082.606046,5453.89978,5688.011952,5922.019315,6166.266361,6424.606749,6699.806042	0.977510563,0.9818283952,0.7984881181,0.9760383478,-0.8788812804,-0.8689640052,-0.9066828927,-0.9113935363	0.9912041024,-0.02871755283,-0.02935502658,-0.02937172318,-0.02930028583,-0.0292332978,-0.02920635628,-0.02923564366	ok
