delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-45.00000000	-41.70761540	0.9040262475	continued:5	1,1,1,1,1,1,1,1	1,1,-1,-1,-1,-1,-1,-1	440.6181557,2278.671685,3333.06705,4575.182242,5580.084124,6712.084794,7697.883267,8784.841156	5035.434689,5911.520048,6718.160935,7628.370564,8524.732727,9458.695601,10416.9191,11365.95923	0.9895403151,0.9061060899,0.9767365325,0.8769398687,0.9409702999,0.7932897433,0.8440710432,0.6300875333	3.564110551e-15,4.826070557e-15,-3.227992516e-15,-2.008656337e-15,-2.719458e-15,-1.177179176e-15,-4.75313312e-15,-5.675400355e-16	ok
-1.49497487	-45.00000000	-42.09476642	0.9025703728	continued:5	1,1,1,1,1,1,1,1	1,1,-1,1,-1,-1,-1,-1	568.3666168,2411.284545,3469.012122,4712.688982,5721.864796,6857.802681,7848.26957,8940.267723	5030.990554,5903.215829,6693.210669,7602.204907,8488.909902,9424.026083,10378.82877,11330.76904	0.987782587,0.8930480777,0.9612276985,0.8194136709,0.8756131565,0.6592618132,0.6957954446,0.4503780696	3.581403852e-15,4.680765379e-15,-1.878935654e-15,4.916839637e-16,-5.025455772e-15,-2.803275275e-15,-6.092592918e-15,-3.857684718e-15	ok
-1.48994975	-45.00000000	-42.39242488	0.9011144981	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	693.9104285,2536.081908,3597.684677,4844.107443,5857.761674,6998.118935,7993.363578,9090.659635	965.7291183,4154.223749,4892.272434,5316.774868,6108.936647,6661.103917,7498.179571,8181.465415	0.9870670996,0.8942829899,0.9625111517,0.8229445187,0.8797667826,0.6642719046,0.7017200383,0.4536122061	2.802944727e-17,1.102795984e-15,4.010171875e-15,2.532991012e-15,7.077462857e-15,4.303779357e-15,1.077999835e-14,4.113285308e-15	ok
-1.48492462	-45.00000000	-42.64210890	0.8998652745	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	821.2109719,2666.167199,3731.772264,4981.238747,5999.435357,7144.367172,8144.437349,9247.141558	960.1583542,4158.957962,4892.92987,5301.69908,6090.960721,6627.716671,7462.403249,8132.462331	0.9868003459,-0.8923608369,-0.9626275014,-0.8221880401,-0.8789181896,-0.6601049508,-0.6973806306,-0.4463937907	2.74927085e-17,2.331503543e-15,5.321674099e-15,4.061080192e-15,9.015138091e-15,8.687905468e-15,1.320976293e-14,7.631220068e-15	ok
-1.47989950	-45.00000000	-42.86056007	0.8984883335	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,-1,1,-1,1	938.7464236,2775.06603,3844.711298,5097.32999,6120.102551,7269.694564,8274.624633,9382.815532	5019.000739,5879.06974,6617.840955,7522.063303,8376.847373,9314.377868,10256.34251,11216.36744	0.986692972,0.9051983154,0.9749549353,0.8682802572,0.9312534661,0.7642513992,0.8128095003,0.5754417488	4.741696282e-15,6.318294786e-15,8.163079501e-16,3.543447048e-15,-1.75682915e-15,2.767678211e-15,-3.804611873e-15,8.895287207e-16	ok
-1.47487437	-45.00000000	-43.06075282	0.8974457610	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	1063.798413,2901.2965,3975.002622,5230.84573,6258.222165,7412.546665,8422.368784,9536.120138	949.2769002,4169.56377,4895.045954,5271.819009,6055.067436,6559.832203,7389.045295,8030.618061	0.9866462651,-0.6784127169,-0.7262662945,-0.3997417914,-0.4198361282,-0.2175277041,-0.2269275611,-0.1178191943	2.646223101e-17,1.147399427e-16,4.870306616e-15,3.829264585e-15,8.783749526e-15,4.83667824e-15,1.044298406e-14,7.074974556e-15	ok
-1.46984925	-45.00000000	-43.24500380	0.8964031885	continued:5	1,1,1,1,1,1,1,1	1,1,-1,1,-1,1,-1,1	1181.283819,3014.306492,4092.08482,5351.205312,6383.210417,7542.333933,8557.078509,9676.461591	5012.185193,5863.668142,6567.287981,7467.358093,8298.277592,9236.435623,10167.39619,11132.18827	0.9866143583,0.827909092,0.88668619,0.6163106603,0.6528621551,0.3798197863,0.3981389297,0.2138643575	2.610225339e-15,4.112181252e-15,-1.935305378e-15,8.651280787e-16,-7.680060733e-17,1.673940135e-15,-5.789886672e-16,3.187426152e-15	ok
-1.46482412	-45.00000000	-43.41824741	0.8955672672	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	1302.388784,3135.064196,4216.926555,5479.378881,6516.037739,7680.027931,8699.725522,9824.811758	938.7273455,4181.840389,4898.371458,5242.323046,6019.436762,6490.670313,7313.492937,7923.801075	0.9865928938,-0.8738509807,-0.9424302876,-0.7501807196,-0.7996765908,-0.5298764922,-0.5584069009,-0.3182492422	2.548414302e-17,4.004627377e-15,7.410302059e-15,6.321480505e-15,1.208483854e-14,1.023851886e-14,1.765554887e-14,1.367368251e-14	ok
-1.45979899	-45.00000000	-43.58129976	0.8948590633	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,1,1,1,1,1,1	1422.682243,3255.441559,4341.39748,5607.231503,6648.568435,7817.491474,8842.172559,9973.033638	933.5717616,4188.671786,4900.548661,5227.697147,6001.797205,6455.692211,7274.988019,7868.604902	0.9865740114,-0.9095940986,-0.9811254571,-0.8932695877,-0.9594709062,-0.8313550975,-0.8884363067,-0.6815459272	2.501298905e-17,-2.751319253e-16,5.223771307e-15,2.300018289e-15,7.553321898e-15,6.472487037e-15,1.398508966e-14,7.268327968e-15	ok
-1.45477387	-45.00000000	-43.73527944	0.8941508593	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	42.8332823,1532.463808,3360.006687,4450.072812,5719.353934,6765.395779,7939.324658,8969.020349	928.4929823,4196.006398,4903.106319,5213.10656,5984.320959,6420.495119,7236.055711,7812.271111	0.9650768635,0.9865508136,-0.8979038795,-0.9687703659,-0.839257302,-0.8990035103,-0.6827857921,-0.7248866727	2.455324357e-17,1.989388945e-15,5.448577408e-15,3.159727596e-15,9.313689534e-15,9.558947884e-15,1.610204631e-14,1.247748263e-14	ok
