delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-45.00000000	-43.43774057	0.8658065013	continued:5	1,1,1,1,1,1,1,1	1,1,-1,-1,-1,-1,-1,-1	587.5324036,1264.962642,2137.307373,2931.78436,3838.602623,4725.998325,5657.688419,6610.064955	5035.434689,5911.520048,6718.160935,7628.370564,8524.732727,9458.695601,10416.9191,11365.95923	0.9862558454,0.9569340628,0.9855813636,0.937746368,0.9857102596,0.9282813982,0.9857936987,0.9239749331	3.564110551e-15,4.826070557e-15,-3.227992516e-15,-2.008656337e-15,-2.719458e-15,-1.177179176e-15,-4.75313312e-15,-5.675400355e-16	ok
-1.38888889	-45.00000000	-44.00218175	0.8630131524	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	804.4240873,1665.720143,2673.424875,3681.526319,4729.44274,5834.91116,6905.612199,8064.156382	5001.978555,5769.650222,6168.444525,7007.162475,7565.02583,8467.441974,9202.610861,10170.02066	0.9854840188,0.9332561782,0.985521688,0.9236855805,0.985629428,0.9205846748,0.9856818419,0.9194781707	8.205545968e-15,1.055603622e-14,7.795151499e-15,1.181924875e-14,6.625065413e-15,1.332847335e-14,8.26823978e-15,1.269820223e-14	ok
-1.27777778	-45.00000000	-44.42944612	0.8602198035	continued:5	1,1,1,1,1,1,1,1	-1,1,1,1,1,1,1,1	1085.308997,2245.709702,3428.500601,4732.966764,5943.081534,7307.034386,8526.110425,9909.043677	5326.675554,5918.84503,6569.334179,7309.460586,8170.120753,9190.674802,9539.708417,10426.14673	0.9853208969,0.9215476097,0.9854423067,0.9197793277,0.9854938141,0.9193594072,0.985494275,0.9190671498	-6.246293218e-16,2.040501453e-14,4.450892326e-14,7.095341511e-14,1.044405612e-13,1.426054945e-13,1.422540679e-13,1.852702075e-13	ok
-1.16666667	-45.00000000	-44.74256437	0.8574264546	full	1,-1,-1,-1,-1,-1,-1,-1	-1,1,1,1,1,1,1,1	1398.209519,3073.620138,4429.071653,6033.810606,7388.186972,8990.741893,10345.05015,11947.46457	6543.91468,6912.9562,7167.432907,7422.721831,7689.971173,7972.767706,8273.566034,8594.949865	0.9853118864,-0.884215579,-0.9626381293,-0.2685689267,-0.3131525419,-0.0211520434,-0.02488255574,-0.001597586332	-2.760332056e-14,1.265378461e-13,2.15962455e-13,2.997013788e-13,4.047621586e-13,5.133022916e-13,6.403291996e-13,7.989735695e-13	ok
-1.05555556	-45.00000000	-42.49970178	0.7852001641	continued:5	1,1,1,1,1,1,1,1	1,-1,1,1,1,1,1,1	267.5760364,1124.470119,2205.861425,2563.592419,3627.990193,4354.802988,5624.668677,6961.223723	672.1553172,5391.109622,5754.076284,5998.786406,6243.476245,6498.940965,6768.712328,7055.139626	0.9882577995,0.9837313022,0.9835782943,0.6215798291,0.9840398225,0.9629815199,0.9845952592,0.9232095365	7.437086763e-18,-3.124575837e-14,1.160845263e-13,2.006387394e-13,2.822190622e-13,3.777130557e-13,4.887059403e-13,6.171933235e-13	ok
-0.94444444	-45.00000000	-43.91158483	0.7824068152	continued:5	1,1,1,1,1,1,1,-1	1,-1,1,1,1,1,1,1	422.2861606,1407.665348,2723.031809,3331.756366,4676.790661,6151.255374,7785.789268,10000.07901	629.5550454,5260.320069,5624.306123,5866.138286,6107.836684,6360.119196,6626.574928,6909.618169	0.9843856075,0.9830898841,0.9834852139,0.9690188123,0.9841968343,0.9243626248,0.9845756902,-0.9241912029	5.691402482e-18,-8.462324959e-15,1.261808626e-13,2.135088153e-13,3.014865696e-13,3.92237712e-13,4.96073736e-13,6.275217283e-13	ok
-0.83333333	-45.00000000	-44.88178072	0.7796134663	continued:5	1,1,1,1,1,1,-1,-1	1,-1,1,1,1,1,1,1	599.8039734,1749.054233,2126.740225,3473.349821,4823.336328,6644.347856,9330.948842,10764.41744	593.5176766,5178.767644,5544.316025,5783.868801,6023.24109,6273.079314,6537.036139,6817.604023	0.9823389678,0.9827952898,0.5109488529,0.9835987509,0.9266010396,0.9843261933,-0.9272939381,-0.9837952715	4.449082412e-18,-6.082282217e-15,1.35427238e-13,2.13782663e-13,2.97288576e-13,3.865819292e-13,4.931098808e-13,6.090103183e-13	ok
-0.72222222	-45.00000000	-45.60807848	0.7768201174	continued:5	1,1,1,1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	807.4832426,2199.881177,2987.696465,4866.23222,7894.298571,9249.434519,10547.11555,12629.25585	562.5460584,5127.87226,5495.223775,5732.794462,5970.17767,6217.93916,6479.79742,6758.330377	0.9817135253,0.9827350529,0.9684154149,0.9838501493,-0.9299415312,-0.9830071494,-0.9287974562,-0.9839315035	3.541427274e-18,1.196208418e-14,1.441630848e-13,2.210151302e-13,2.975418716e-13,3.835272311e-13,4.850297431e-13,6.036223038e-13	ok
-0.61111111	-45.00000000	-46.15095697	0.7740267685	continued:5	1,1,-1,-1,1,1,1,1	1,1,1,1,1,1,1,1	1059.937567,2885.137084,5508.536603,7447.451209,10922.31339,12110.88044,12485.50454,14341.46734	5546.398912,5915.726129,6151.53067,6387.175241,6633.130087,6893.18156,7169.999658,7466.368319	0.9815331504,0.982855561,-0.9281740588,-0.9833316105,0.933362135,0.981794782,0.3100589239,0.9831813886	1.976535913e-14,1.470555584e-13,2.255013447e-13,3.045692855e-13,3.891299985e-13,4.962770084e-13,6.184312086e-13,7.736064853e-13	ok
-0.50000000	-45.00000000	-46.53988294	0.7768201174	full	1,1,1,1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	70.8974261,1514.144475,2924.38948,6250.307485,11685.62439,12060.87906,12297.62079,12534.4337	511.8396307,5082.606477,5453.900215,5688.012389,5922.019755,6166.266804,6424.607196,6699.806495	0.977510563,0.9818283952,0.7984881181,0.9760383478,-0.8788812804,-0.8689640052,-0.9066828927,-0.9113935363	2.341967818e-18,1.582041195e-14,1.744029029e-13,2.55735769e-13,3.415901967e-13,4.325472401e-13,5.386605222e-13,6.671747341e-13	ok
