delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-0.540816	-45.000000	17505644030684069780	4794995527	-1,-1,-15,-15	-15,-3,-15	ok
-0.540816	-44.489796	17506287715197408764	5920080049	-1,1,-15,-15	-15,-15,-15	ok
-0.540816	-43.979592	885640085064	4537948250	-1,2,-14,-4	14,14,14	ok
-0.540816	-43.469388	3431755365031336040	3446948908	-1,-11,-14,13	-14,-14,-14	ok
-0.540816	-42.959184	5940442205971251902	3446948908	-1,13,-14,-14	-14,-14,-14	ok
-0.540816	-42.448980	5940442205971251902	3446948908	-1,13,-14,-14	-14,-14,-14	ok
-0.540816	-41.938776	3361378628987190902	2592828040	-1,13,13,13	13,13,13	ok
-0.540816	-41.428571	1862522110322978202	1952031377	-1,-13,-13,-13	13,13,-13	ok
-0.540816	-40.918367	1862522110322978202	1862522156643875166	-1,-13,-13,-13	-13,-13,-13,-13	ok
-0.540816	-40.408163	1862522110322978202	1862522156643875166	-1,-13,-13,-13	-13,-13,-13,-13	ok
-0.540816	-39.897959	1862522110322978202	1862522156643875166	-1,-13,-13,-13	-13,-13,-13,-13	ok
-0.540816	-39.387755	1009021255905833795	1420578229	-1,12,12,12	12,12,12	ok
-0.540816	-38.877551	1009021255905833795	1009021288579133361	-1,12,12,12	12,12,12,12	ok
-0.540816	-38.367347	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.540816	-37.857143	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.540816	-37.346939	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.540816	-36.836735	533508198414997652	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.540816	-36.326531	274761540684197919	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.540816	-35.816327	274761540684197919	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.540816	-35.306122	137520058369471127	137520069382767449	-1,-11,-11,-11	11,-11,-11,-11	ok
-0.540816	-34.795918	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.540816	-34.285714	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.540816	-33.775510	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.540816	-33.265306	137520058369471127	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.540816	-32.755102	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.540816	-32.244898	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.540816	-31.734694	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.540816	-31.224490	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.540816	-30.714286	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.540816	-30.204082	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.540816	-29.693878	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.540816	-29.183673	31288139504878815	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.540816	-28.673469	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.540816	-28.163265	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.540816	-27.653061	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.540816	-27.142857	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.540816	-26.632653	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.540816	-26.122449	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.540816	-25.612245	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.540816	-25.102041	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.540816	-24.591837	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.540816	-24.081633	6127216826882384	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.540816	-23.571429	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.540816	-23.061224	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.540816	-22.551020	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.540816	-22.040816	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.540816	-21.530612	2537568978100002	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.540816	-21.020408	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.540816	-20.510204	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.540816	-20.000000	998766650140877	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
