delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-30.526316	-46.577219	0.805855	continued:5	1930161644	2646129	1,0,0,-2,0,0	-11,0,0,0,0,0	ok
-1.447368	-30.526316	-47.261681	0.803061	continued:5	5869698724	11342343951457067230763385	1,0,-1,0,0,-1	-11,0,0,1,-6	ok
-1.394737	-30.526316	-47.855399	0.800268	continued:5	81265039183354	20601078010514939227642876653829	1,0,1,4,-1,0	-11,-1,-1,0,9	ok
-1.342105	-30.526316	-48.360423	0.797475	continued:5	531030335989806219203362718508752	1263807042760632	-1,0,-9,0,10	-11,9,-2,8	ok
-1.289474	-30.526316	-48.780213	0.794681	full	2214010359232145026291181011669452	32491315884349396	-1,-1,1,10,10	10,10,10,-10	ok
-1.236842	-30.526316	-47.360750	0.773733	continued:5	62284232212056908	66720925908142496	1,10,9,10	10,10,10,10	ok
-1.184211	-30.526316	-48.003173	0.770940	continued:5	6720851833652339	66720925908142496	1,10,-10,-9	10,10,10,10	ok
-1.131579	-30.526316	-48.538158	0.768147	continued:5	66720919332797819	66720925908142496	1,10,10,10	10,10,10,10	ok
-1.078947	-30.526316	-48.973858	0.765353	continued:5	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.026316	-30.526316	-49.319502	0.762560	full	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.973684	-30.526316	-43.562443	0.720228	continued:5	2225840977019920510813437199053748	66720925908142496	1,10,10,10,10	10,10,10,10	ok
-0.921053	-30.526316	-45.199027	0.717434	continued:5	2225840977019920510813437199053748	66720925908142496	1,10,10,10,10	10,10,10,10	ok
-0.868421	-30.526316	-46.441510	0.714641	continued:5	2225840977019920444092511290911250	66720925908142496	-1,10,10,10,10	10,10,10,10	ok
-0.815789	-30.526316	-47.441685	0.711848	continued:5	2225840977019920444092511290911250	66720925908142496	-1,10,10,10,10	10,10,10,10	ok
-0.763158	-30.526316	-48.250735	0.714641	continued:5	489473985547722495736997144779949	31288144257776695	1,10,-10,-10,-10	10,-10,-10,-10	ok
-0.710526	-30.526316	-48.844495	0.711848	continued:5	489473977720914113225471980282363	31288144257776695	1,-10,-10,-10,-10	10,-10,-10,-10	ok
-0.657895	-30.526316	-49.310270	0.709054	continued:5	489473977720914113225471980282363	31288144007624166	1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.605263	-30.526316	-49.666732	0.706261	continued:5	489473977720914113225471980282363	31288144007624166	1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.552632	-30.526316	-49.930993	0.703468	continued:5	489473977720914081937327972658195	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.500000	-30.526316	-50.118374	0.700674	full	489473977720914081937327972658195	489473977720914645123920109893372	-1,-10,-10,-10,-10	-10,-10,-10,-10,-10	ok
