delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-45.00000000	-41.70761540	0.9040262475	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	440.6181557,2278.671685,3333.06705,4575.182242,5580.084124,6712.084794,7697.883267,8784.841156	5035.434462,5911.519744,6718.160719,7628.370272,8524.732368,9458.695133,10416.91851,11365.95845	0.9895403151,0.9061060899,0.9767365325,0.8769398687,0.9409702999,0.7932897433,0.8440710432,0.6300875333	-0.919986427,-0.9855629848,-0.9361838488,-0.9856595162,-0.9274620355,-0.9856492183,-0.9233126542,-0.9854356775	ok
-1.49497487	-45.00000000	-42.09476642	0.9025703728	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	568.3666168,2411.284545,3469.012122,4712.688982,5721.864796,6857.802681,7848.26957,8940.267723	5030.99029,5903.215527,6693.210509,7602.204619,8488.909572,9424.025624,10378.82815,11330.76828	0.987782587,0.8930480777,0.9612276985,0.8194136709,0.8756131565,0.6592618132,0.6957954446,0.4503780696	-0.9203702563,-0.9855211264,-0.9384033608,-0.9856289677,-0.9283211847,-0.9856255415,-0.9235981011,-0.9854127685	ok
-1.48994975	-45.00000000	-42.39242488	0.9011144981	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	693.9104285,2536.081908,3597.684677,4844.107443,5857.761674,6998.118935,7993.363578,9090.659635	965.7284087,4154.222938,4892.271564,5316.774055,6108.935726,6661.102999,7498.178506,8181.46427	0.9870670996,0.8942829899,0.9625111517,0.8229445187,0.8797667826,0.6642719046,0.7017200383,0.4536122061	0.9897475523,-0.9279736085,-0.9845227805,-0.9214744293,-0.9848328359,-0.9762665097,-0.9848487053,-0.9551082617	ok
-1.48492462	-45.00000000	-42.64210890	0.8998652745	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	821.2109719,2666.167199,3731.772264,4981.238747,5999.435357,7144.367172,8144.437349,9247.141558	960.1576481,4158.957155,4892.929005,5301.698269,6090.959803,6627.715728,7462.402191,8132.461201	0.9868003459,-0.8923608369,-0.9626275014,-0.8221880401,-0.8789181896,-0.6601049508,-0.6973806306,-0.4463937907	0.9897577179,-0.9284048075,-0.9844383228,-0.9012275062,-0.9847676571,-0.9762364747,-0.9847798943,-0.9577601572	ok
-1.47989950	-45.00000000	-42.86056007	0.8984883335	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	938.7464236,2775.06603,3844.711298,5097.32999,6120.102551,7269.694564,8274.624633,9382.815532	5019.000525,5879.069442,6617.840811,7522.063027,8376.847123,9314.377434,10256.34197,11216.3667	0.986692972,0.9051983154,0.9749549353,0.8682802572,0.9312534661,0.7642513992,0.8128095003,0.5754417488	-0.9215404971,-0.9853890562,-0.9463390319,-0.9855311527,-0.9314436486,-0.9855493677,-0.9246281374,-0.9853407825	ok
-1.47487437	-45.00000000	-43.06075282	0.8974457610	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1063.798413,2901.2965,3975.002622,5230.84573,6258.222165,7412.546665,8422.368784,9536.120138	949.2762007,4169.563008,4895.045099,5271.818206,6055.066529,6559.831288,7389.044254,8030.616928	0.9866462651,-0.6784127169,-0.7262662945,-0.3997417914,-0.4198361282,-0.2175277041,-0.2269275611,-0.1178191943	0.989777915,-0.9292782771,-0.984252753,-0.8492114339,-0.9846262452,-0.9715098245,-0.9846263471,-0.9634842028	ok
-1.46984925	-45.00000000	-43.24500380	0.8964031885	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1181.283819,3014.306492,4092.08482,5351.205312,6383.210417,7542.333933,8557.078509,9676.461591	5012.18496,5863.667846,6567.287831,7467.357821,8298.27728,9236.435201,10167.39564,11132.18754	0.9866143583,0.827909092,0.88668619,0.6163106603,0.6528621551,0.3798197863,0.3981389297,0.2138643575	-0.9223375291,-0.9852949202,-0.9527182674,-0.9854601749,-0.9341000373,-0.9854935442,-0.9254997014,-0.9852894879	ok
-1.46482412	-45.00000000	-43.41824741	0.8955672672	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1302.388784,3135.064196,4216.926555,5479.378881,6516.037739,7680.027931,8699.725522,9824.811758	938.7266525,4181.839598,4898.370614,5242.322256,6019.435866,6490.669421,7313.49191,7923.79996	0.9865928938,-0.8738509807,-0.9424302876,-0.7501807196,-0.7996765908,-0.5298764922,-0.5584069009,-0.3182492422	0.9897979378,-0.9301648559,-0.9840397872,-0.7834193054,-0.9844670916,-0.9569233999,-0.9844468636,-0.9693226127	ok
-1.45979899	-45.00000000	-43.58129976	0.8948590633	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	1422.682243,3255.441559,4341.39748,5607.231503,6648.568435,7817.491474,8842.172559,9973.033638	933.5710718,4188.671038,4900.547822,5227.696361,6001.796314,6455.691326,7274.987,7868.603829	0.9865740114,-0.9095940986,-0.9811254571,-0.8932695877,-0.9594709062,-0.8313550975,-0.8884363067,-0.6815459272	0.9898078854,-0.9306120679,-0.9839205127,-0.7468027569,-0.9843793623,-0.9442948328,-0.9843451479,-0.9719446884	ok
-1.45477387	-45.00000000	-43.73527944	0.8941508593	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	42.8332823,1532.463808,3360.006687,4450.072812,5719.353934,6765.395779,7939.324658,8969.020349	928.4922956,4196.00561,4903.105486,5213.105783,5984.320073,6420.49423,7236.054701,7812.270046	0.9650768635,0.9865508136,-0.8979038795,-0.9687703659,-0.839257302,-0.8990035103,-0.6827857921,-0.7248866727	0.9898177912,-0.931061086,-0.9837909593,-0.7089572646,-0.9842851157,-0.927195478,-0.9842339045,-0.9740384713	ok
-1.44974874	-45.00000000	-43.88226145	0.8934426554	full	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	50.72228779,1543.705968,3365.642024,4459.828934,5732.609982,6783.381843,7962.385309,8997.126411	923.4884195,4203.878147,4906.075408,5198.468185,5967.045244,6385.112596,7196.744339,7754.847679	0.9922600519,0.9865272903,0.7350369216,0.7838985797,0.4485910252,0.4743959874,0.241591021,0.2538256797	0.9898276558,-0.931511058,-0.9836494691,-0.6711784873,-0.984183288,-0.9050402981,-0.9841116813,-0.9752134407	ok
-1.44472362	-45.00000000	-40.91067083	0.8980399679	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	270.4466041,2034.150952,3140.798785,4434.28414,5492.46095,6682.513798,7723.410585,8874.512226	918.5576062,4212.327245,4909.492815,5183.6165,5950.01312,6349.579513,7157.109923,7696.392676	0.993069076,0.9147049887,0.9857078578,0.915084142,0.9841006065,0.9109795664,0.9781418418,0.8925372585	0.9898374797,-0.9319608672,-0.9834940238,-0.6352107255,-0.9840725382,-0.8774478985,-0.9839767171,-0.9749213238	ok
-1.43969849	-45.00000000	-41.66542473	0.8967907443	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	404.7171516,2200.858294,3304.960113,4588.297739,5649.133303,6839.673633,7884.811244,9040.00574	4998.073406,5821.455736,6415.501623,7298.291531,8044.381938,8978.652824,9861.888666,10836.7622	0.9900145682,0.913145623,0.983352481,0.9032158669,0.970661124,0.8624416633,0.9240179983,0.7436988947	-0.9248212702,-0.9849752054,-0.973377551,-0.9852127876,-0.9462146641,-0.9852928575,-0.9295722072,-0.9851117916	ok
-1.43467337	-45.00000000	-42.11421739	0.8953348696	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	534.7011701,2343.592951,3450.5877,4734.983146,5800.216478,6995.136832,8045.244563,9206.207636	4996.750861,5815.102248,6390.370667,7269.578903,7999.547375,8932.197988,9804.94888,10780.7027	0.9878534095,0.6977086593,0.7455267486,0.397550557,0.4214344947,0.2043837196,0.2155428752,0.103801706	-0.9252501891,-0.9849151517,-0.9755440738,-0.9851655385,-0.9490150639,-0.985253104,-0.9305717322,-0.9850772767	ok
-1.42964824	-45.00000000	-42.45044652	0.8937512775	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	661.3858961,2470.319196,3581.205424,4868.757696,5938.732548,7138.815887,8194.053742,9361.158614	4995.755482,5808.974492,6365.338673,7240.771309,7954.049514,8884.769384,9746.211815,10722.56156	0.9869377219,0.6458337715,0.6897380651,0.3437509621,0.364562152,0.1716879277,0.1812751428,0.08594640592	-0.9256837526,-0.9848527157,-0.9765442398,-0.9851162679,-0.9520662496,-0.9852110656,-0.9317031079,-0.9850408556	ok
-1.42462312	-45.00000000	-42.73041371	0.8922954028	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	787.4516653,2595.549009,3710.551786,5001.759549,6076.570572,7282.044157,8342.470424,9515.857345	899.5304165,4252.824584,4928.490672,5885.273496,6206.359325,6996.592617,7453.596455,8294.313327	0.9865933709,-0.596279246,-0.6417955614,-0.3036216633,-0.3222248678,-0.148337642,-0.1568132192,-0.07331227753	0.9898763786,-0.9337216754,-0.9826733666,-0.9834979138,-0.7178552087,-0.9832576769,-0.9409174429,-0.98290214	ok
-1.41959799	-45.00000000	-42.97614370	0.8909184617	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	910.7484769,2714.829402,3834.012418,5129.042721,6208.73149,7419.705873,8485.356857,9665.118895	894.9395006,4264.909101,4934.832193,5870.218293,6170.200693,6956.334305,7391.040527,8226.06221	0.9864606297,0.8187204806,0.8775734308,0.5692757683,0.6072005005,0.3158378411,0.3348883277,0.1605817945	0.9898860065,-0.9341374111,-0.9823964659,-0.9833044978,-0.6710647041,-0.9830137716,-0.9180660657,-0.9826235444	ok
-1.41457286	-45.00000000	-43.19962079	0.8896692381	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	1032.150238,2831.427104,3954.815704,5253.75555,6338.352009,7554.912774,8625.819984,9812.038975	890.4118724,4277.917459,4941.938122,5855.749054,6133.630443,6916.194039,7327.909013,8156.906949	0.9863998828,0.9051074137,0.9730610788,0.8498428807,0.9120242734,0.6876134592,0.7342762785,0.4381563913	0.9898955966,-0.9345338573,-0.9820776575,-0.9830804197,-0.6257875081,-0.9827324483,-0.8870172506,-0.9823003125	ok
-1.40954774	-45.00000000	-43.40714677	0.8886266657	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1155.104384,2952.743214,4080.3576,5383.284531,6472.81655,7695.045417,8771.239396,9963.995789	4995.365987,5787.017453,6266.606737,7125.125137,7766.071895,8685.750332,9493.01127,10468.39977	0.9863668458,0.8914135568,0.9574244301,0.7801969328,0.8363732624,0.5437561055,0.5797002637,0.3029104888	-0.9274669949,-0.9845742215,-0.9570617548,-0.9848960896,-0.9661987898,-0.9850149601,-0.9380159724,-0.9848703475	ok
