category_id	count	encoding	sequence
1	1	565	15,0,0
2	7	606	12,0,0,0
3	15	641	-13,0,0,0
4	1	675	14,1,0
5	12	677	13,0,0,0
6	19	714	-14,0,0,0
7	1	750	15,1,0
8	52	752	14,0,0,0
9	1	791	-15,0,0,0
10	52	831	15,0,0,0
11	15	835	13,-1,0,0
12	2	876	-14,-1,0,0
13	4	881	11,1,0,0
14	952	914	16,0,0,0
15	7	918	14,-1,0,0
16	3	960	15,1,-1
17	2	961	-15,-1,0,0
18	3	1010	-13,1,0,0
19	4	1051	15,0,1
20	1	1053	14,2,0
21	7	1055	13,1,0,0
22	2	1101	-14,1,0,0
23	1	1144	16,0,1
24	51	1148	14,1,0,0
25	2	1154	11,-2,0,0
26	7	1196	-15,1,0,0
27	2	1198	-14,0,-1,0
28	75	1245	15,1,0,0
29	8	1247	14,0,-1,0
30	3	1251	12,-2,0,0
31	14	1295	-16,1,0,0
32	10	1296	15,-1,1
33	3	1297	-15,0,-1,0
34	1	1301	-13,-2,0,0
35	24	1346	16,1,0,0
36	3	1348	15,0,-1,0
37	1	1350	14,-3,0
38	5	1352	13,-2,0,0
39	97	1398	-17,1,0,0
40	1	1399	16,-1,1
41	4	1404	-14,-2,0,0
42	10	1453	16,0,-1,0
43	1	1455	15,-3,0
44	6	1457	14,-2,0,0
45	1	1460	-13,0,0,-1
46	2	1508	16,3
47	6	1511	-15,-2,0,0
48	1	1512	14,1,1
49	2	1514	13,0,0,-1
50	2	1518	11,2,0,0
51	4	1564	16,-3,0
52	5	1568	14,-1,-1,0
53	3	1569	-14,0,0,-1
54	7	1623	15,1,1
55	12	1625	14,0,0,-1
56	5	1629	12,2,0,0
57	2	1680	-16,1,1
58	14	1681	15,-1,-1,0
59	88	1738	16,1,1
60	6	1740	15,0,0,-1
61	1	1744	13,2,0,0
62	5	1746	12,1,-1,0
63	1	1797	-17,1,1
64	2	1798	16,-1,-1,0
65	1	1801	-15,3,0
66	1	1803	-14,2,0,0
67	2	1805	-13,1,-1,0
68	49	1857	17,1,1
69	12	1859	16,0,0,-1
70	20	1863	14,2,0,0
71	5	1865	13,1,-1,0
72	4	1919	17,-1,-1,0
73	3	1924	-15,2,0,0
74	6	1926	-14,1,-1,0
75	2	1927	13,-1,0,-1
76	5	1986	15,2,0,0
77	5	1988	14,1,-1,0
78	2	1994	11,-3,0,0
79	1	2048	16,-3,-1
80	5	2049	-16,2,0,0
81	1	2050	15,-2,1
82	6	2051	-15,1,-1,0
83	4	2052	14,-1,0,-1
84	2	2114	-16,-2,1
85	10	2115	15,1,-1,0
86	3	2121	12,-3,0,0
87	5	2180	-16,1,-1,0
88	1	2245	-17,-2,1
89	44	2246	16,1,-1,0
90	1	2248	15,0,-2
91	3	2252	13,-3,0,0
92	9	2312	17,-2,1
93	3	2313	-17,1,-1,0
94	2	2324	11,0,1,0
95	2	2380	-18,-2,1
96	2	2381	17,1,-1,0
97	2	2387	14,-3,0,0
98	2	2389	13,-2,-1,0
99	4	2392	-12,0,1,0
100	3	2456	-15,-3,0,0
101	2	2457	14,2,1
102	1	2458	-14,-2,-1,0
103	2	2459	13,1,0,-1
104	3	2461	12,0,1,0
105	3	2465	10,3,0,0
106	2	2524	16,-4,0
107	3	2528	14,-2,-1,0
108	1	2529	-14,1,0,-1
109	15	2531	-13,0,1,0
110	5	2598	15,2,1
111	8	2600	14,1,0,-1
112	7	2602	13,0,1,0
113	2	2670	-16,2,1
114	6	2671	15,-2,-1,0
115	1	2672	-15,1,0,-1
116	9	2674	-14,0,1,0
117	9	2743	16,2,1
118	4	2744	-16,-2,-1,0
119	10	2745	15,1,0,-1
120	22	2747	14,0,1,0
121	1	2751	12,3,0,0
122	1	2753	11,2,-1,0
123	7	2817	-17,2,1
124	5	2818	16,-2,-1,0
125	1	2819	-16,1,0,-1
126	9	2821	-15,0,1,0
127	1	2892	17,2,1
128	9	2894	16,1,0,-1
129	103	2896	15,0,1,0
130	1	2898	14,4,0
131	5	2900	13,3,0,0
132	4	2902	12,2,-1,0
133	5	2970	-17,1,0,-1
134	1	2971	16,-1,-2
135	5	2972	-16,0,1,0
136	1	2978	-13,2,-1,0
137	44	3049	16,0,1,0
138	5	3053	14,3,0,0
139	2	3055	13,2,-1,0
140	16	3127	-17,0,1,0
141	1	3131	-15,3,0,0
142	4	3133	-14,2,-1,0
143	2	3134	13,-2,0,-1
144	2	3212	14,2,-1,0
145	1	3213	-14,-2,0,-1
146	1	3220	10,-4,0,0
147	2	3290	-16,3,0,0
148	1	3291	15,-3,1
149	4	3293	14,-2,0,-1
150	4	3295	13,-1,1,0
151	1	3370	-17,-4,-1
152	1	3372	-16,-3,1
153	14	3373	15,2,-1,0
154	2	3376	-14,-1,1,0
155	1	3381	11,-4,0,0
156	2	3454	16,-3,1
157	5	3455	-16,2,-1,0
158	4	3458	14,-1,1,0
159	2	3537	-17,-3,1
160	3	3538	16,2,-1,0
161	2	3540	15,1,-2
162	7	3541	-15,-1,1,0
163	5	3542	14,0,-1,-1
164	5	3622	-17,2,-1,0
165	3	3624	-16,1,-2
166	22	3625	15,-1,1,0
167	1	3626	-15,0,-1,-1
168	1	3633	11,2,0,-1
169	1	3635	10,1,1,0
170	1	3706	-18,-3,1
171	2	3709	16,1,-2
172	1	3711	15,0,-1,-1
173	4	3715	13,-4,0,0
174	2	3717	12,-3,-1,0
175	54	3722	-10,0,0,0,0
176	1	3795	-17,1,-2
177	47	3796	16,-1,1,0
178	1	3801	-14,-4,0,0
179	3	3806	11,1,1,0
180	132	3808	10,0,0,0,0
181	15	3882	17,1,-2
182	4	3883	-17,-1,1,0
183	2	3884	16,0,-1,-1
184	1	3888	14,-4,0,0
185	1	3890	13,-3,-1,0
186	2	3893	-12,1,1,0
187	100	3895	-11,0,0,0,0
188	1	3970	-18,1,-2
189	2	3971	17,-1,1,0
190	2	3977	14,3,1
191	1	3979	13,2,0,-1
192	8	3981	12,1,1,0
193	2390	3983	11,0,0,0,0
194	3	4063	16,-5,0
195	1	4064	-16,4,-1
196	1	4065	15,-4,0,0
197	1	4067	14,-3,-1,0
198	4	4070	-13,1,1,0
199	479	4072	-12,0,0,0,0
200	4	4156	15,3,1
201	1	4157	-15,-3,-1,0
202	10	4158	14,2,0,-1
203	5	4160	13,1,1,0
204	3446	4162	12,0,0,0,0
205	1	4166	10,4,0,0
206	1	4247	-16,3,1
207	2	4248	15,-3,-1,0
208	1	4249	-15,2,0,-1
209	2	4251	-14,1,1,0
210	265	4253	-13,0,0,0,0
211	2	4339	16,3,1
212	1	4341	15,2,0,-1
213	23	4343	14,1,1,0
214	3882	4345	13,0,0,0,0
215	1	4349	11,4,0,0
216	1	4351	10,3,-1,0
217	3	4432	-17,3,1
218	3	4433	16,-3,-1,0
219	1	4434	-16,2,0,-1
220	7	4436	-15,1,1,0
221	235	4438	-14,0,0,0,0
222	1	4529	-16,-2,-2
223	6	4530	15,1,1,0
224	3499	4532	14,0,0,0,0
225	1	4534	13,5,0
226	2	4536	12,4,0,0
227	3	4538	11,3,-1,0
228	1	4623	-17,2,0,-1
229	8	4625	-16,1,1,0
230	3	4626	15,-1,-1,-1
231	705	4627	-15,0,0,0,0
232	26	4638	9,-1,0,0,0
233	2	4720	-17,-2,-2
234	2626	4723	15,0,0,0,0
235	5	4727	13,4,0,0
236	1	4729	12,3,-1,0
237	2	4734	-10,-1,0,0,0
238	12	4817	17,-2,-2
239	1	4819	16,-1,-1,-1
240	820	4820	-16,0,0,0,0
241	1	4824	-14,4,0,0
242	4	4826	-13,3,-1,0
243	80	4831	10,-1,0,0,0
244	11	4915	-18,-2,-2
245	741	4918	16,0,0,0,0
246	4	4922	14,4,0,0
247	4	4924	13,3,-1,0
248	5	4929	-11,-1,0,0,0
249	4	5016	17,-1,-1,-1
250	1	5021	-15,4,0,0
251	1	5023	-14,3,-1,0
252	1	5024	13,-3,0,-1
253	147	5028	11,-1,0,0,0
254	1	5123	14,3,-1,0
255	2	5126	-13,-2,1,0
256	9	5128	-12,-1,0,0,0
257	1	5221	16,-5,-1
258	4	5224	-15,3,-1,0
259	2	5225	14,-3,0,-1
260	3	5227	13,-2,1,0
261	141	5229	12,-1,0,0,0
262	11	5326	15,3,-1,0
263	2	5329	-14,-2,1,0
264	2	5330	13,1,-1,-1
265	22	5331	-13,-1,0,0,0
266	2	5336	10,-5,0,0
267	3	5428	16,-4,1
268	3	5429	-16,3,-1,0
269	2	5432	14,-2,1,0
270	157	5434	13,-1,0,0,0
271	2	5532	-17,-4,1
272	1	5535	15,2,-2
273	3	5536	-15,-2,1,0
274	3	5537	14,1,-1,-1
275	12	5538	-14,-1,0,0,0
276	2	5543	11,-5,0,0
277	2	5638	-17,3,-1,0
278	3	5640	-16,2,-2
279	4	5641	15,-2,1,0
280	4	5642	-15,1,-1,-1
281	170	5643	14,-1,0,0,0
282	1	5648	-12,-5,0,0
283	3	5746	16,2,-2
284	2	5747	-16,-2,1,0
285	13	5748	15,1,-1,-1
286	9	5749	-15,-1,0,0,0
287	1	5754	12,-5,0,0
288	1	5756	11,-4,-1,0
289	2	5853	-17,2,-2
290	1	5854	16,-2,1,0
291	2	5855	-16,1,-1,-1
292	100	5856	15,-1,0,0,0
293	1	5864	11,3,0,-1
294	1	5866	10,2,1,0
295	15	5868	9,1,0,0,0
296	3	5962	-17,-2,1,0
297	22	5963	16,1,-1,-1
298	54	5964	-16,-1,0,0,0
299	1	5965	15,0,2
300	1	5967	14,-6,0
301	1	5969	13,-5,0,0
302	1	5971	12,-4,-1,0
303	1	5976	-10,1,0,0,0
304	1	6070	-18,2,-2
305	6	6072	-17,1,-1,-1
306	20	6073	16,-1,0,0,0
307	1	6081	12,3,0,-1
308	2	6083	11,2,1,0
309	222	6085	10,1,0,0,0
310	8	6182	17,1,-1,-1
311	64	6183	-17,-1,0,0,0
312	2	6190	13,-4,-1,0
313	3	6195	-11,1,0,0,0
314	2	6300	14,4,1
315	1	6301	-14,-4,-1,0
316	1	6302	13,3,0,-1
317	1	6304	12,2,1,0
318	251	6306	11,1,0,0,0
319	2	6409	16,-6,0
320	2	6412	-15,4,1
321	1	6416	-13,2,1,0
322	27	6418	-12,1,0,0,0
323	6	6525	15,4,1
324	2	6526	-15,-4,-1,0
325	3	6527	14,3,0,-1
326	7	6529	13,2,1,0
327	238	6531	12,1,0,0,0
328	1	6537	9,5,0,0
329	2	6639	-16,4,1
330	1	6640	15,-4,-1,0
331	2	6643	-14,2,1,0
332	50	6645	-13,1,0,0,0
333	1	6647	-12,0,-2,0
334	2	6754	16,4,1
335	7	6758	14,2,1,0
336	231	6760	13,1,0,0,0
337	1	6871	16,-4,-1,0
