delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-45.00000000	-43.43774057	0.8658065013	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	587.5323514,1264.96289,2137.307542,2931.784368,3838.602551,4725.99812,5657.688136,6610.064591	5035.434462,5911.519744,6718.160719,7628.370272,8524.732367,9458.695133,10416.91851,11365.95845	0.9862557697,0.9569339175,0.9855813987,0.9377464344,0.9857105,0.9282824216,0.9857952175,0.9239800841	-0.9200110998,-0.9855927479,-0.9362383622,-0.985722167,-0.9275923891,-0.9858023256,-0.9236644825,-0.9858500664	ok
-1.38888889	-45.00000000	-44.00218175	0.8630131524	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	804.4240715,1665.720136,2673.424864,3681.526217,4729.442641,5834.911282,6905.612196,8064.156109	5001.978305,5769.64995,6168.444389,7007.162253,7565.025701,8467.441704,9202.610536,10170.02018	0.9854839959,0.9332563072,0.9855217181,0.9236859024,0.9856299632,0.9205874957,0.985685862,0.9194978571	-0.9295744701,-0.9844434875,-0.8624605428,-0.9849056559,-0.976533729,-0.9851682153,-0.9497814814,-0.9853991644	ok
-1.27777778	-45.00000000	-44.42944612	0.8602198035	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1085.308975,2245.709829,3428.500542,4732.966648,5943.081111,7307.033573,8526.109302,9909.041652	5326.675346,5918.844786,6569.333956,7309.460382,8170.120553,9190.674571,9539.708223,10426.14639	0.9853208726,0.921547607,0.9854422309,0.9197799858,0.9854949223,0.9193739478,0.9855114749,0.9192694608	-0.9440034595,-0.9813871112,-0.9856900125,-0.9850149917,-0.984470917,-0.9843361389,-0.7187948011,-0.9845469261	ok
-1.16666667	-45.00000000	-44.74256437	0.8574264546	full	1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	1398.209511,3073.620185,4429.071581,6033.810317,7388.186684,8990.741567,10345.04929,11947.46454	6543.914489,6912.955994,7167.432698,7422.721618,7689.970955,7972.767483,8273.565805,8594.949628	0.9853118881,-0.9085756147,-0.9852583794,-0.9206981825,-0.9852567029,-0.9206948756,-0.9852565971,-0.9206945531	-0.955351301,-0.9557435806,-0.9895957075,-0.9949173978,-0.9950098998,-0.994021803,-0.9928350043,-0.9917014538	ok
-1.05555556	-45.00000000	-42.49970178	0.7852001641	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	267.5759811,1124.470174,2205.861467,2563.592276,3627.989977,4354.802721,5624.66827,6961.222893	672.1548078,5391.10902,5754.075674,5998.785793,6243.475628,6498.940343,6768.7117,7055.138992	0.9882577299,0.9837312424,0.9835783505,0.6215792106,0.9840398905,0.9629822834,0.9845966112,0.9232388364	0.9905004597,-0.9545296339,-0.9504611567,-0.9893161319,-0.9955232804,-0.9958474081,-0.9949015076,-0.9936340897	ok
-0.94444444	-45.00000000	-43.91158483	0.7824068152	continued:5	1,1,1,1,1,1,1,-1	1,-1,-1,-1,-1,-1,-1,-1	422.2861231,1407.6654,2723.031693,3331.756388,4676.790462,6151.254485,7785.788322,10000.07788	629.5545694,5260.319523,5624.305562,5866.137722,6107.836116,6360.118623,6626.57435,6909.617585	0.9843855382,0.9830898827,0.9834851525,0.9690191839,0.9841974486,0.9244517381,0.9846444782,-0.9242841847	0.9906610376,-0.9538044585,-0.9476323011,-0.9889751138,-0.9956125202,-0.996019147,-0.9950633495,-0.9937321418	ok
-0.83333333	-45.00000000	-44.88178072	0.7796134663	continued:5	1,1,1,1,1,1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	599.8039136,1749.054275,2126.740278,3473.349672,4823.335549,6644.346788,9330.947295,10764.41619	593.5172291,5178.767129,5544.315503,5783.868277,6023.240561,6273.078781,6537.035601,6817.60348	0.9823388351,0.9827952231,0.5109492243,0.9835989554,0.9266137971,0.9843366341,-0.9272941321,-0.9837956818	0.9908109846,-0.9530778324,-0.9448833501,-0.9885971861,-0.9956531105,-0.9961382591,-0.9951714835,-0.9937770139	ok
-0.72222222	-45.00000000	-45.60807848	0.7768201174	continued:5	1,1,1,1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	807.4832214,2199.881181,2987.696455,4866.231982,7894.297905,9249.433933,10547.1155,12629.25582	562.5456357,5127.87178,5495.223286,5732.79397,5970.177174,6217.93866,6479.796915,6758.329867	0.9817134862,0.9827351163,0.9684162218,0.9838515925,-0.9299492678,-0.983015628,-0.9290689047,-0.9840579912	0.9909510548,-0.9523452811,-0.9420864538,-0.9881726472,-0.995662992,-0.9962315717,-0.9952559819,-0.9937985035	ok
-0.61111111	-45.00000000	-46.15095697	0.7740267685	continued:5	1,1,-1,-1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1059.937556,2885.137049,5508.536409,7447.451105,10922.31324,12110.88005,12485.50353,14341.46555	5546.398759,5915.725969,6151.530506,6387.175074,6633.129916,6893.181384,7169.999476,7466.368131	0.9815331531,0.9828560801,-0.9281749188,-0.983333699,0.9333925365,0.9818254028,0.3100594853,0.9832120901	-0.9516062784,-0.9392002425,-0.9876878604,-0.9956431906,-0.9963043538,-0.9953231371,-0.9938026757,-0.9921537292	ok
-0.50000000	-45.00000000	-46.53988294	0.7768201174	full	1,1,1,1,-1,-1,-1,-1	1,-1,-1,-1,-1,-1,-1,-1	70.897426,1514.144461,2924.389527,6250.306923,11685.62418,12060.87885,12297.62055,12534.43349	511.8392495,5082.606046,5453.899779,5688.01195,5922.019312,6166.266357,6424.606744,6699.806038	0.9775105637,0.9818285792,0.9694884384,0.9838800242,-0.9509291151,-0.9380429247,-0.9873412095,-0.9954453773	0.9912041024,-0.9508579976,-0.9361156684,-0.9871125113,-0.9955959014,-0.996368724,-0.9953894402,-0.993807505	ok
