time	lambda_hat	x	Ca	V
1.0	0.0010976408864922915	0.38235695575448425	0.8070868635703129	-54.93255150984188
2.0	0.001098719090382606	0.38210028775795574	0.8069973372587799	-54.94036386540998
3.0	0.00109867471095735	0.3818434980219418	0.8069077429408728	-54.94818174543337
4.0	0.0010983508641215208	0.38158658676899065	0.8068180805835834	-54.95600514811137
5.0	0.0010979160328882277	0.38132955422335907	0.8067283501539827	-54.96383407159382
6.0	0.0010974261518620655	0.3810724006110163	0.8066385516192215	-54.97166851398083
7.0	0.0010969047002000764	0.38081512615964846	0.8065486849465309	-54.97950847332261
8.0	0.0010963643141197986	0.3805577310986625	0.8064587501032232	-54.987353947619276
9.0	0.0010958113679401303	0.38030021565919025	0.8063687470566924	-54.99520493482063
10.0	0.001095250027420464	0.38004258007409286	0.8062786757744146	-55.003061432825966
11.0	0.0010946826926240365	0.3797848245779645	0.806188536223949	-55.010923439483896
12.0	0.0010941110788933192	0.37952694940713655	0.8060983283729386	-55.01879095259211
13.0	0.0010935363711809356	0.37926895479968176	0.8060080521891102	-55.02666396989722
14.0	0.0010924600560406716	0.37901084099541815	0.8059177076402757	-55.03454248909453
15.0	0.0010919154075133065	0.3787526082359131	0.8058272946943325	-55.04242650782783
16.0	0.001091365352436562	0.37849425676448734	0.8057368133192638	-55.05031602368923
17.0	0.0010908108963382228	0.37823578682621883	0.8056462634831401	-55.058211034218935
18.0	0.001090253101981435	0.377977198667947	0.8055556451541188	-55.06611153690506
19.0	0.0010896925392948236	0.37771849253827633	0.8054649583004457	-55.074017529183436
20.0	0.0010891297529293958	0.3774596686875807	0.8053742028904552	-55.08192900843737
21.0	0.0010885651771371718	0.37720072736800686	0.8052833788925711	-55.089845971997505
22.0	0.001087999248140458	0.37694166883347874	0.8051924862753069	-55.09776841714158
23.0	0.001087432249773788	0.3766824933397011	0.8051015250072672	-55.105696341094244
24.0	0.0010868642806190845	0.37642320114416344	0.8050104950571475	-55.113629741026855
25.0	0.0010862956217188673	0.3761637925061438	0.8049193963937356	-55.12156861405729
26.0	0.0010857265260013277	0.3759042676867127	0.8048282289859117	-55.12951295724973
27.0	0.0010851570586107894	0.37564462694873685	0.8047369928026492	-55.13746276761448
28.0	0.001084341375147603	0.375384870556883	0.8046456878130156	-55.145418042107764
29.0	0.001083780264124444	0.37512499877762173	0.8045543139861729	-55.15337877763151
30.0	0.0010829894567844186	0.37486501187923105	0.8044628712913785	-55.161344971033174
31.0	0.001082434973150735	0.37460491013180025	0.8043713596979853	-55.16931661910553
32.0	0.0010816651850762064	0.37434469380723356	0.8042797791754432	-55.17729371858648
33.0	0.0010811158279014207	0.374084363179254	0.8041881296932992	-55.18527626615885
34.0	0.0010803641960695012	0.37382391852340674	0.8040964112211981	-55.1932642584502
35.0	0.0010798190373895874	0.3735633601170631	0.8040046237288835	-55.2012576920326
36.0	0.0010792728838759787	0.3733026882394238	0.803912767186198	-55.209256563422464
37.0	0.0010787258714191757	0.3730419031715229	0.8038208415630842	-55.21726086908035
38.0	0.0010779988097088886	0.37278100519623125	0.8037288468295853	-55.22527060541074
39.0	0.0010772807327542476	0.3725199945982599	0.8036367829558458	-55.23328576876187
40.0	0.0010767409937074443	0.3722588716641639	0.8035446499121122	-55.241306355425486
41.0	0.0010760346780644393	0.3719976366823456	0.8034524476687334	-55.249332361636725
42.0	0.0010754975049033788	0.37173628994305835	0.8033601761961618	-55.25736378357384
43.0	0.0010748017865481133	0.3714748317384098	0.8032678354649538	-55.26540061735805
44.0	0.0010741128409493066	0.3712132623623653	0.8031754254457704	-55.273442859053326
45.0	0.00107358062709087	0.37095158211075163	0.8030829461093777	-55.2814905046662
46.0	0.0010729006755013796	0.37068979128126006	0.8029903974266481	-55.28954355014558
47.0	0.0010722265389879113	0.37042789017344985	0.8028977793685609	-55.29760199138252
48.0	0.0010716984211516308	0.37016587908875165	0.8028050919062023	-55.30566582421006
49.0	0.0010710319492989021	0.3699037583304708	0.802712335010767	-55.31373504440302
50.0	0.0010703705729905488	0.36964152820379054	0.8026195086535582	-55.32180964767779
51.0	0.0010697139413470718	0.36937918901577543	0.8025266128059889	-55.32988962969216
52.0	0.0010690619172770072	0.36911674107537457	0.802433647439582	-55.337974986045104
53.0	0.0010684142572302893	0.3688541846934247	0.8023406125259714	-55.3460657122766
54.0	0.0010678949089573595	0.3685915201826535	0.8022475080369025	-55.35416180386741
55.0	0.001067252993592831	0.3683287478576829	0.8021543339442329	-55.36226325623895
56.0	0.0010666149548951742	0.36806586803503183	0.8020610902199331	-55.370370064753
57.0	0.0010659806386676463	0.3678028810331198	0.8019677768360876	-55.37848222471159
58.0	0.0010653498783568698	0.3675397871722697	0.8018743937648948	-55.38659973135678
59.0	0.0010647225358297588	0.3672765867747109	0.8017809409786685	-55.39472257987046
60.0	0.0010640984840795719	0.3670132801645825	0.8016874184498382	-55.40285076537416
61.0	0.0010634775894792208	0.36674986766793605	0.8015938261509497	-55.41098428292887
62.0	0.0010628597343540049	0.3664863496127387	0.801500164054666	-55.41912312753484
63.0	0.0010621394148044362	0.36622272632887615	0.801406432133768	-55.427267294131376
64.0	0.0010615290919009262	0.3659589981481555	0.8013126303611555	-55.435416777596664
65.0	0.001060921418466319	0.3656951654043083	0.8012187587098472	-55.44357157274759
66.0	0.0010603163593648482	0.3654312284329932	0.8011248171529819	-55.451731674339506
67.0	0.0010597137722329734	0.36516718757179895	0.8010308056638191	-55.459897077066096
68.0	0.0010590164814069586	0.36490304316024724	0.8009367242157399	-55.46806777555915
69.0	0.0010583244850942517	0.36463879553979534	0.8008425727822475	-55.47624376438837
70.0	0.001057731846313298	0.3643744450538389	0.8007483513369676	-55.484425038061204
71.0	0.0010570485750837062	0.3641099920477149	0.8006540598536501	-55.492611591022644
72.0	0.0010563701609522206	0.36384543686870385	0.8005596983061688	-55.50080341765504
73.0	0.0010556963854054036	0.36358077986603293	0.8004652666685226	-55.509000512277915
74.0	0.001055027103335338	0.3633160213908784	0.800370764914836	-55.51720286914776
75.0	0.0010543621720499952	0.3630511617963681	0.8002761930193604	-55.52541048245787
76.0	0.0010537014219447523	0.36278620143758433	0.8001815509564739	-55.53362334633815
77.0	0.001053044736076471	0.3625211406715661	0.8000868387006828	-55.54184145485493
78.0	0.001052392004280713	0.3622559798573118	0.7999920562266217	-55.55006480201076
79.0	0.001051660322481179	0.3619907193557814	0.7998972035090551	-55.55829338174424
80.0	0.0010509345823732955	0.36172535952989937	0.7998022805228772	-55.56652718792985
81.0	0.0010502145533819748	0.36145990074455664	0.7997072872431129	-55.57476621437773
82.0	0.0010495795467747998	0.3611943433666131	0.7996122236449191	-55.58301045483353
83.0	0.0010489478320946843	0.3609286877649001	0.7995170897035846	-55.591259902978194
84.0	0.0010483193005472787	0.36066293431022256	0.7994218853945313	-55.59951455242781
85.0	0.0010476174734997464	0.3603970833753613	0.7993266106933149	-55.60777439673341
86.0	0.0010469960473048134	0.3601311353350753	0.7992312655756256	-55.61603942938078
87.0	0.0010463030232403577	0.35986509056610383	0.7991358500172887	-55.62430964379028
88.0	0.0010456146843310697	0.3595989494471688	0.7990403639942655	-55.632585033316694
89.0	0.0010449308753166047	0.3593327123589767	0.7989448074826538	-55.640865591249
90.0	0.001044179660068539	0.35906637968422067	0.7988491804586892	-55.64915131081023
91.0	0.0010434344553401156	0.35879995180758284	0.7987534828987453	-55.657442185157265
92.0	0.0010427652123493898	0.3585334291157361	0.7986577147793342	-55.66573820738066
